Abdomen, Acute	C23.888.821.030.249
Intracranial Arteriosclerosis	C14.907.137.126.372
Intracranial Arteriovenous Malformations	C14.907.150.295
Intracranial Embolism and Thrombosis	C14.907.355.830.850.213
Intracranial Embolism	C14.907.355.830.850.213.300
Intracranial Hemorrhage, Hypertensive	C14.907.253.573.350
Intracranial Hemorrhages	C23.550.414.913
Intracranial Hemorrhage, Traumatic	C26.915.300.490
Intracranial Hypertension	C10.228.140.631
Intracranial Hypotension	C10.228.140.638
Intracranial Thrombosis	C14.907.355.830.850.213.350
Intraocular Lymphoma	C15.604.515.569.417
Intraoperative Awareness	C23.550.505.400
Intraoperative Complications	C23.550.505
Intussusception	C06.405.469.531.577
Invasive Pulmonary Aspergillosis	C08.381.472.850.750
Iridocyclitis	C11.941.879.780.880.400
Iritis	C11.941.879.780.880.448
Iron Metabolism Disorders	C18.452.565
Iron Overload	C18.452.565.500
Irritable Bowel Syndrome	C06.405.469.158.272.608
Ischemia	C23.550.513
Ischemic Attack, Transient	C14.907.253.092.836
Jaundice	C23.888.885.375
Jaundice, Neonatal	C23.550.429.249.500
Jaundice, Obstructive	C23.888.885.375.500
Jervell-Lange Nielsen Syndrome	C14.280.067.565.440
Jet Lag Syndrome	F03.870.400.200.500
Job Syndrome	C20.673.774.600
Joint Diseases	C05.550
Kallmann Syndrome	C19.391.482.600
Kasabach-Merritt Syndrome	C15.378.140.855.645
Keloid	C23.550.355.274.510
Keratitis	C11.204.564
Keratitis, Herpetic	C11.204.564.425
Keratoconjunctivitis	C11.204.564.585
Keratoconjunctivitis Sicca	C11.204.564.585.630
Keratoconus	C11.204.627
Keratosis, Actinic	C17.800.428.570
Keratosis	C17.800.428
Keratosis, Seborrheic	C17.800.428.580
Ketosis	C18.452.076.176.652
Kidney Calculi	C23.300.175.850.550
Kidney Cortex Necrosis	C13.351.968.419.393
Kidney Diseases	C13.351.968.419
Kidney Diseases, Cystic	C13.351.968.419.403
Kidney Failure, Chronic	C12.777.419.780.750.500
Kidney Neoplasms	C13.351.968.419.473
Kidney Tubular Necrosis, Acute	C12.777.419.780.050.500
Klatskin's Tumor	C04.557.470.200.025.540
Klebsiella Infections	C01.252.400.310.503
Klinefelter Syndrome	C19.391.482.629
Klippel-Trenaunay-Weber Syndrome	C14.907.077.410
Knee Injuries	C26.558.554
Kwashiorkor	C18.654.521.500.708.626.505
Labor Pain	C23.888.646.492
Labyrinth Diseases	C09.218.568
Labyrinthitis	C09.218.705.371
Lacerations	C26.540
Lacrimal Apparatus Diseases	C11.496
Lactose Intolerance	C16.320.565.202.589
Lambert-Eaton Myasthenic Syndrome	C10.668.758.450
Laron Syndrome	C19.297.656
Laryngeal Diseases	C08.360
Laryngeal Edema	C08.360.313
Laryngeal Neoplasms	C04.588.443.665.481
Laryngismus	C08.618.980.500
Laryngitis	C08.360.535
Laryngomalacia	C16.131.621.568
Laryngopharyngeal Reflux	C06.405.117.119.500.484.500
Laryngostenosis	C16.131.740.658
Lassa Fever	C02.782.417.505
Latent Tuberculosis	C01.252.410.040.552.846.122
Lead Poisoning	C25.723.589
Learning Disorders	F03.550.450
Legg-Calve-Perthes Disease	C05.116.852.175.570
Leg Injuries	C26.558
Legionellosis	C01.252.400.500
Legionnaires' Disease	C01.252.400.500.501
Leg Ulcer	C17.800.893.592
Leigh Disease	C16.320.565.202.810.444
Leiomyoma	C04.557.450.590.450
Leiomyomatosis	C04.557.450.590.450.465
Leiomyosarcoma	C04.557.450.590.455
Leishmaniasis	C17.800.838.775.560
Leishmaniasis, Cutaneous	C17.800.838.775.560.400
Leishmaniasis, Mucocutaneous	C17.800.838.775.560.400.385
Leishmaniasis, Visceral	C03.752.300.500.510
Lentigo	C17.800.621.430.530.550
Lentivirus Infections	C02.782.815.616
Leprosy, Borderline	C01.252.410.040.552.386.850.249
Leprosy	C01.252.410.040.552.386
Leprosy, Lepromatous	C01.252.410.040.552.386.775.500
Leprosy, Multibacillary	C01.252.410.040.552.386.775
Leptospirosis	C01.252.400.511
Lesch-Nyhan Syndrome	C18.452.132.100.425
Leukemia, Basophilic, Acute	C04.557.337.539.275.125
Leukemia, B-Cell	C15.604.515.560.080
Leukemia, Biphenotypic, Acute	C15.604.515.560.100
Leukemia	C04.557.337
Leukemia, Eosinophilic, Acute	C04.557.337.539.275.300
Leukemia, Erythroblastic, Acute	C15.378.190.636.276
Leukemia, Hairy Cell	C15.604.515.553
Leukemia, Large Granular Lymphocytic	C15.604.515.560.575.049
Leukemia, Lymphocytic, Chronic, B-Cell	C15.604.515.560.080.125
Leukemia, Lymphoid	C15.604.515.560
Leukemia-Lymphoma, Adult T-Cell	C15.604.515.560.575.100
Leukemia, Mast-Cell	C04.557.450.565.465.750.500
Leukemia, Megakaryoblastic, Acute	C04.557.337.539.275.450
Leukemia, Monocytic, Acute	C04.557.337.539.275.484
Leukemia, Myelogenous, Chronic, BCR-ABL Positive	C15.378.190.636.370
Leukemia, Myeloid, Accelerated Phase	C15.378.190.636.370.300
Leukemia, Myeloid, Acute	C04.557.337.539.275
Leukemia, Myeloid	C04.557.337.539
Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative	C15.378.190.615.500
Leukemia, Myeloid, Chronic-Phase	C15.378.190.636.370.400
Leukemia, Myelomonocytic, Acute	C04.557.337.539.520
Leukemia, Myelomonocytic, Chronic	C15.378.190.615.510
Leukemia, Myelomonocytic, Juvenile	C15.378.190.615.520
Leukemia, Neutrophilic, Chronic	C15.378.190.636.380
Leukemia, Plasma Cell	C20.683.515.845.500
Leukemia, Prolymphocytic, B-Cell	C15.604.515.560.550.745
Leukemia, Prolymphocytic	C15.604.515.560.550
Leukemia, Prolymphocytic, T-Cell	C15.604.515.560.575.125
Leukemia, Promyelocytic, Acute	C04.557.337.539.275.700
Leukemia, T-Cell	C15.604.515.560.575
Leukemoid Reaction	C15.378.190.636.484
Leukocyte-Adhesion Deficiency Syndrome	C20.673.600
Leukocyte Disorders	C15.378.553
Leukodystrophy, Globoid Cell	C10.228.140.695.625.500
Leukodystrophy, Metachromatic	C10.228.140.695.625.550
Leukoencephalopathies	C10.228.140.695
Leukoencephalopathy, Progressive Multifocal	C10.228.140.695.750
Leukomalacia, Periventricular	C10.228.140.461.550
Leukopenia	C15.378.553.546
Leukoplakia	C23.300.816
Leukoplakia, Hairy	C23.300.816.513.500
Leukoplakia, Oral	C23.300.816.513
Lewy Body Disease	F03.087.400.512
Leydig Cell Tumor	C12.294.260.937.500.249
Lice Infestations	C17.800.838.775.580
Lichen Planus	C17.800.859.475.560
Lichen Planus, Oral	C17.800.859.475.560.397
Lichen Sclerosus et Atrophicus	C17.800.859.475.605
Li-Fraumeni Syndrome	C16.320.700.600
Limbic Encephalitis	C10.228.228.245.700
Linear IgA Bullous Dermatosis	C17.800.865.622
Linitis Plastica	C04.557.470.200.025.095.410
Lipid Metabolism Disorders	C18.452.584
Lipid Metabolism, Inborn Errors	C16.320.565.398
Lip Neoplasms	C04.588.443.591.550
Lipodystrophy	C18.452.584.625
Lipodystrophy, Congenital Generalized	C16.320.565.398.745
Lipodystrophy, Familial Partial	C18.452.584.625.700
Lipoma	C04.557.450.550.400
Lipomatosis	C17.800.463
Liposarcoma	C04.557.450.550.420
Liposarcoma, Myxoid	C04.557.450.550.420.425
Liver Abscess	C01.539.830.025.020.455
Liver Abscess, Pyogenic	C01.539.830.025.020.455.730
Liver Cirrhosis, Alcoholic	C25.775.100.087.645.550
Liver Cirrhosis, Biliary	C06.130.120.135.250.250
Liver Cirrhosis	C06.552.630
Liver Cirrhosis, Experimental	E05.598.500.468
Liver Diseases, Alcoholic	C25.775.100.087.645
Liver Diseases	C06.552
Liver Failure, Acute	C06.552.308.500.750
Liver Failure	C06.552.308.500
Liver Neoplasms	C04.588.274.623
Liver Neoplasms, Experimental	E05.598.500.496.750
Long QT Syndrome	C23.550.073.547
Low Back Pain	C23.888.646.172.500
Lower Urinary Tract Symptoms	C23.888.942.343
Low Tension Glaucoma	C11.640.225
Lung Abscess	C01.539.830.025.490
Lung Diseases	C08.381
Lung Diseases, Fungal	C01.703.534
Lung Diseases, Interstitial	C08.381.483
Lung Diseases, Obstructive	C08.381.495
Lung Injury	C26.891.554
Lung Neoplasms	C04.588.894.797.520
Lupus Erythematosus, Cutaneous	C17.800.480
Lupus Erythematosus, Discoid	C17.800.480.479
Lupus Erythematosus, Systemic	C20.111.590
Lupus Nephritis	C12.777.419.570.363.680
Lupus Vasculitis, Central Nervous System	C10.228.566.500.500
Lyme Disease	C01.252.400.155.569
Lyme Neuroborreliosis	C10.228.228.180.437
Lymphangiectasis	C15.604.360
Lymphangioleiomyomatosis	C15.604.515.562.465
Lymphangioma	C04.557.375.450
Lymphangiomyoma	C15.604.515.562
Lymphatic Abnormalities	C16.131.482
Lymphatic Diseases	C15.604
Lymphedema	C15.604.496
Lymphocele	C15.604.510
Lymphocytosis	C15.378.553.475.604
Lymphohistiocytosis, Hemophagocytic	C15.604.250.410.575
Lymphoma, AIDS-Related	C20.683.515.761.480.150.450
Lymphoma, B-Cell	C15.604.515.569.480.150
Lymphoma, B-Cell, Marginal Zone	C20.683.515.761.480.150.570
Lymphoma	C15.604.515.569
Lymphoma, Extranodal NK-T-Cell	C04.557.386.480.750.199
Lymphoma, Follicular	C20.683.515.761.480.350
Lymphoma, Large B-Cell, Diffuse	C20.683.515.761.480.150.585
Lymphoma, Large-Cell, Anaplastic	C20.683.515.761.480.750.399
Lymphoma, Large-Cell, Immunoblastic	C20.683.515.761.480.487
Lymphoma, Mantle-Cell	C20.683.515.761.480.525
Lymphoma, Non-Hodgkin	C15.604.515.569.480
Lymphoma, Primary Cutaneous Anaplastic Large Cell	C20.683.515.761.480.750.800.507
Lymphoma, Primary Effusion	C20.683.515.761.480.150.592
Lymphoma, T-Cell	C20.683.515.761.480.750
Lymphoma, T-Cell, Cutaneous	C20.683.515.761.480.750.800
Lymphoma, T-Cell, Peripheral	C20.683.515.761.480.750.825
Lymphomatoid Granulomatosis	C20.683.515.761.480.150.600
Lymphomatoid Papulosis	C20.683.515.761.480.750.800.528
Lymphopenia	C20.673.627
Lymphoproliferative Disorders	C15.604.515
Lysosomal Storage Diseases	C16.320.565.595
Machado-Joseph Disease	C10.228.140.252.700.700.500
Macular Degeneration	C11.768.585.439
Macular Edema	C11.768.585.439.245
Magnesium Deficiency	C18.654.521.500.439
Malabsorption Syndromes	C18.452.603
Malaria	C03.752.530
Malaria, Cerebral	C10.228.228.205.300.500
Malaria, Falciparum	C03.752.530.650
Malaria, Vivax	C03.752.530.700
Malformations of Cortical Development	C10.500.507
Malignant Carcinoid Syndrome	C04.557.580.625.650.200.500
Malnutrition	C18.654.521
Mandibular Fractures	C26.260.275.500.400.255
Mannosidase Deficiency Diseases	C16.320.565.202.607
Mansonelliasis	C03.335.508.700.750.361.588
Maple Syrup Urine Disease	C18.452.132.100.520
Marfan Syndrome	C14.280.400.725
Marijuana Abuse	F03.900.635
Mastitis	C13.703.844.603
Mastocytosis	C17.800.508
Mastocytosis, Systemic	C04.557.450.565.465.750
Mastodynia	G11.561.600.810.308
Maternal Death	I01.880.735.607.500
Maxillary Sinusitis	C08.460.692.752.578
Measles	C02.782.580.600.500.500
Meconium Aspiration Syndrome	C13.703.277.785
Mediastinal Neoplasms	C04.588.894.479
Medulloblastoma	C04.557.580.625.600.590.500
Melanoma	C04.557.665.510
Melanoma, Experimental	E05.598.500.496.937
Melanosis	C17.800.621.430.530
MELAS Syndrome	C14.907.253.329.500
Melioidosis	C01.252.400.170.531
Memory Disorders	F01.700.625
Meniere Disease	C09.218.568.217.500
Meningeal Carcinomatosis	C10.551.240.500.150
Meningeal Neoplasms	C10.551.240.500
Meningioma	C10.551.240.500.500
Meningitis, Aseptic	C10.228.228.507.700.600
Meningitis, Bacterial	C10.228.228.507.280
Meningitis	C10.228.566
Meningitis, Cryptococcal	C10.228.228.507.400.500
Meningitis, Fungal	C10.228.228.507.400
Meningitis, Meningococcal	C10.228.228.507.280.505
Meningitis, Pneumococcal	C10.228.228.507.280.560
Meningococcal Infections	C01.252.400.625.549
Menkes Kinky Hair Syndrome	C18.452.132.100.540
Menopause, Premature	G08.686.157.500.500
Menorrhagia	C23.550.568.875
Menstruation Disturbances	C23.550.568
Mental Disorders Diagnosed in Childhood	F03.550
Mental Disorders	F03
Mental Fatigue	F01.145.126.937
Mental Retardation, X-Linked	C10.597.606.643.455
Mercury Poisoning	C25.723.647
Mesenchymoma	C04.557.435.500
Mesothelioma	C04.557.470.660.510
Metabolic Diseases	C18.452
Metabolic Syndrome X	C18.452.394.968.500.570
Metabolism, Inborn Errors	C18.452.648
Metaplasia	C23.550.589
Methemoglobinemia	C15.378.619
Metrorrhagia	C23.550.414.993.700
Mevalonate Kinase Deficiency	C18.452.132.100.680.430
Microcephaly	C16.131.621.207.620
Micrognathism	C16.131.621.207.540.460.457
Microsatellite Instability	G05.365.590.335.590
Microscopic Polyangiitis	C14.907.253.329.600
Microsporidiosis	C01.703.617
Microvascular Angina	C14.907.585.187.575
Migraine Disorders	C10.228.140.546.399.750
Migraine with Aura	C10.228.140.546.399.750.250
Migraine without Aura	C10.228.140.546.399.750.450
Mild Cognitive Impairment	F03.087.250.700
Milk Hypersensitivity	C20.543.480.370.500
Mitochondrial Diseases	C18.452.660
Mitochondrial Encephalomyopathies	C10.668.491.500.500
Mitochondrial Myopathies	C10.668.491.500
Mitral Valve Insufficiency	C14.280.484.461
Mitral Valve Stenosis	C14.280.484.517
Mixed Connective Tissue Disease	C17.300.540
Mixed Tumor, Mesodermal	C04.557.435.530
Mixed Tumor, Mullerian	C04.557.435.540
Mobility Limitation	C23.888.550
Molluscum Contagiosum	C17.800.838.790.550
Monoclonal Gammopathy of Undetermined Significance	C15.378.147.542.640
Mononeuropathies	C10.668.829.500
Monosomy	G05.365.590.175.050.500
Mood Disorders	F03.600
Motion Sickness	C23.888.571
Motor Neuron Disease	C10.668.467
Mouth Diseases	C07.465
Mouth Neoplasms	C04.588.443.591
Movement Disorders	C10.228.662
Moyamoya Disease	C14.907.253.560.200.737
Mucocutaneous Lymph Node Syndrome	C14.907.940.560
Mucopolysaccharidoses	C16.320.565.202.715
Mucopolysaccharidosis I	C16.320.565.202.715.640
Mucopolysaccharidosis II	C16.320.565.202.715.645
Mucopolysaccharidosis III	C16.320.565.202.715.650
Mucopolysaccharidosis VI	C16.320.565.202.715.670
Mucopolysaccharidosis VII	C16.320.565.202.715.675
Mucormycosis	C01.703.980.600
Mucositis	C06.405.205.798
Multiple Endocrine Neoplasia	C16.320.700.630
Multiple Endocrine Neoplasia Type 1	C19.344.400.500
Multiple Endocrine Neoplasia Type 2a	C19.344.400.505
Multiple Endocrine Neoplasia Type 2b	C19.344.400.510
Multiple Myeloma	C14.907.454.460
Multiple Organ Failure	C23.550.835.525
Multiple Pulmonary Nodules	C04.588.894.797.520.237
Multiple Sclerosis	C10.114.375.500
Multiple Sclerosis, Chronic Progressive	C10.114.375.500.200
Multiple Sclerosis, Relapsing-Remitting	C10.114.375.500.600
Multiple System Atrophy	C10.228.662.550
Multiple Trauma	C26.640
Mumps	C07.465.815.470.800.630
Muscle Cramp	C23.888.592.608.500
Muscle Hypertonia	C23.888.592.608.550
Muscle Hypotonia	C23.888.592.608.575
Muscle Rigidity	C23.888.592.608.550.500
Muscle Spasticity	C23.888.592.608.550.550
Muscle Weakness	C23.550.695
Muscular Atrophy	C23.300.070.500
Muscular Atrophy, Spinal	C10.228.854.468
Muscular Diseases	C10.668.491
Muscular Disorders, Atrophic	C10.668.550
Muscular Dystrophies	C10.668.491.175.500
Muscular Dystrophies, Limb-Girdle	C10.668.491.175.500.149
Muscular Dystrophy, Duchenne	C10.668.491.175.500.300
Muscular Dystrophy, Facioscapulohumeral	C10.668.491.175.500.400
Muscular Dystrophy, Oculopharyngeal	C10.668.491.175.500.450
Musculoskeletal Diseases	C05
Musculoskeletal Pain	G11.561.600.810.353
Mushroom Poisoning	C25.723.680.551
Myalgia	G11.561.600.810.353.500
Myasthenia Gravis	C10.668.758.725
Myasthenic Syndromes, Congenital	C10.668.758.800
Mycobacterium avium-intracellulare Infection	C01.252.410.040.552.475.495
Mycobacterium Infections	C01.252.410.040.552
Mycobacterium Infections, Nontuberculous	C01.252.410.040.552.475
Mycoplasma Infections	C01.252.400.610.610
Mycoses	C01.703
Mycosis Fungoides	C20.683.515.761.480.750.800.550
Mydriasis	C11.710.570
Myelitis	C10.228.228.618
Myelitis, Transverse	C10.228.854.525.553
Myelodysplastic-Myeloproliferative Diseases	C15.378.190.615
Myelodysplastic Syndromes	C15.378.190.625
Myeloproliferative Disorders	C15.378.190.636
Myocardial Infarction	C14.907.585.500
Myocardial Ischemia	C14.907.585
Myocardial Reperfusion Injury	C23.550.767.877.500
Myocardial Stunning	C14.907.585.750
Myocarditis	C14.280.238.625
Myoclonic Epilepsies, Progressive	C10.228.140.490.250.650
Myoclonus	C23.888.592.350.500
Myofascial Pain Syndromes	C05.651.550
Myofibroma	C17.300.680.540
Myoma	C04.557.450.590.540
Myopathies, Nemaline	C10.668.491.550.290
Myopia	C11.744.636
Myopia, Degenerative	C11.744.636.500
Myositis	C10.668.491.562
Myositis, Inclusion Body	C10.668.491.562.500
Myositis Ossificans	C05.651.594.638
Myotonia	C23.888.592.608.700
Myotonia Congenita	C10.668.491.606.500
Myotonic Disorders	C10.668.491.606
Myotonic Dystrophy	C10.668.491.606.750
Nail Diseases	C17.800.529
Nails, Ingrown	C17.800.529.406
Narcolepsy	F03.870.400.800.200.750
Nasal Obstruction	C08.618.846.185.525
Nasal Polyps	C23.300.825.557
Nasopharyngeal Neoplasms	C07.550.745.650
Nausea	C23.888.821.712
Neck Pain	C23.888.646.501
Necrosis	G04.299.139.638
Neisseriaceae Infections	C01.252.400.625
Nelson Syndrome	C10.228.140.617.738.675.149.500
Nematode Infections	C03.335.508
Neointima	C23.550.722
Neonatal Abstinence Syndrome	F03.900.650
Neoplasm Metastasis	C23.550.727.650
Neoplasm Micrometastasis	C23.550.727.650.695
Neoplasm Recurrence, Local	C23.550.727.655
Neoplasm, Residual	C23.550.727.700
Neoplasms, Adipose Tissue	C04.557.450.550
Neoplasms, Basal Cell	C04.557.470.565
Neoplasms by Histologic Type	C04.557
Neoplasms by Site	C04.588
Neoplasms	C04
Neoplasms, Connective and Soft Tissue	C04.557.450
Neoplasms, Experimental	E05.598.500.496
Neoplasms, Fibrous Tissue	C04.557.450.565.590
Neoplasms, Germ Cell and Embryonal	C04.557.465
Neoplasms, Glandular and Epithelial	C04.557.470
Neoplasms, Hormone-Dependent	C04.626
Neoplasms, Neuroepithelial	C04.557.580.625.600
Neoplasms, Plasma Cell	C04.557.595
Neoplasms, Second Primary	C04.692
Neoplasms, Squamous Cell	C04.557.470.700
Neoplasms, Unknown Primary	C23.550.727.650.895
Neoplasms, Vascular Tissue	C04.557.645
Neoplastic Cells, Circulating	C23.550.727.650.900
Neoplastic Processes	C23.550.727
Neovascularization, Pathologic	C23.550.589.500
Nephritis	C13.351.968.419.570
Nephritis, Hereditary	C12.777.419.570.620
Nephritis, Interstitial	C12.777.419.570.643
Nephrocalcinosis	C12.777.419.590
Nephrogenic Fibrosing Dermopathy	C23.550.355.550
Nephrolithiasis	C12.777.419.600
Nephrosclerosis	C12.777.419.610
Nephrosis	C12.777.419.630
Nephrosis, Lipoid	C12.777.419.630.477
Nephrotic Syndrome	C12.777.419.630.643
Nerve Compression Syndromes	C10.668.829.550
Nerve Degeneration	C23.550.737
Nerve Sheath Neoplasms	C10.668.829.725.500
Nervous System Diseases	C10
Nervous System Malformations	C10.500
Nervous System Neoplasms	C10.551
Netherton Syndrome	C16.320.850.673
Neuralgia	C23.888.646.508
Neuralgia, Postherpetic	C23.888.646.508.550
Neural Tube Defects	C10.500.680
Neurilemmoma	C04.557.580.600.610.595
Neuritis	C10.668.829.650
Neuroaspergillosis	C10.228.228.198.750
Neurobehavioral Manifestations	F01.700
Neuroblastoma	C04.557.580.625.600.590.650.550
Neurocysticercosis	C10.228.228.205.250.550
Neurodegenerative Diseases	C10.574
Neurodermatitis	C17.800.815.660
Neuroectodermal Tumors	C04.557.580.625
Neuroectodermal Tumors, Primitive	C04.557.580.625.600.590
Neuroectodermal Tumors, Primitive, Peripheral	C04.557.580.625.600.590.650
Neuroendocrine Tumors	C04.557.580.625.650
Neurofibroma	C10.668.829.725.500.600
Neurofibroma, Plexiform	C10.668.829.725.500.600.500
Neurofibromatoses	C10.562.600
Neurofibromatosis 1	C10.668.829.675
Neurofibromatosis 2	C10.562.600.750
Neurofibrosarcoma	C10.668.829.725.500.600.600
Neurogenic Bowel	C06.405.469.158.272.804
Neurologic Manifestations	C23.888.592
Neuroma, Acoustic	C10.292.225.750
Neuroma	C04.557.580.600.610
Neuromuscular Diseases	C10.668
Neuromyelitis Optica	C10.292.700.550.500
Neuronal Ceroid-Lipofuscinoses	C16.320.565.398.641.509
Neurosyphilis	C10.228.228.180.600
Neurotic Disorders	F03.650
Neurotoxicity Syndromes	C25.723.705
Neutropenia	C15.378.553.546.184.564
Nevus	C04.557.665.560
Niemann-Pick Diseases	C18.452.132.100.435.825.700
Niemann-Pick Disease, Type A	C18.452.132.100.435.825.700.500
Niemann-Pick Disease, Type B	C18.452.132.100.435.825.700.750
Niemann-Pick Disease, Type C	C18.452.132.100.435.825.700.875
Night Blindness	C11.966.671
Nociceptive Pain	C23.888.646.511
Nocturia	C23.888.942.343.550
Nocturnal Enuresis	F01.145.126.856.500
Nodding Syndrome	C10.228.140.490.375.525
Noonan Syndrome	C16.131.621.207.690
No-Reflow Phenomenon	C23.550.513.677
Nose Deformities, Acquired	C08.460.619
Nose Neoplasms	C04.588.149.721.600
Nutrition Disorders	C18.654
Nystagmus, Congenital	C10.292.562.675.300
Nystagmus, Pathologic	C10.292.562.675
Obesity, Abdominal	G07.100.100.160.120.699.500.249
Obesity	G07.100.100.160.120.699.500
Obesity Hypoventilation Syndrome	C10.886.425.800.750.850.500
Obesity, Morbid	G07.100.100.160.120.699.500.500
Obsessive-Compulsive Disorder	F03.080.600
Obstetric Labor Complications	C13.703.420
Obstetric Labor, Premature	C13.703.420.491
Ochronosis	C23.550.744
Ocular Hypertension	C11.525
Ocular Motility Disorders	C10.228.758
Odontogenic Tumors	C04.557.695
Olfaction Disorders	C23.888.592.763.550
Oligodendroglioma	C04.557.580.625.600.380.590
Oligohydramnios	C13.703.560
Oligospermia	C12.294.365.700.508
Oliguria	C23.888.942.400
Onchocerciasis	C17.800.838.775.690
Onycholysis	C17.800.529.478
Onychomycosis	C17.800.838.208.883.458
Ophthalmia Neonatorum	C11.187.183.220.538
Ophthalmoplegia	C23.888.592.636.447
Opioid-Related Disorders	F03.900.675
Opportunistic Infections	C01.539.597
Opsoclonus-Myoclonus Syndrome	C10.228.758.500
Optic Atrophies, Hereditary	C11.270.564
Optic Atrophy	C10.292.700.225
Optic Atrophy, Hereditary, Leber	C11.270.564.400
Optic Nerve Diseases	C10.292.700
Optic Nerve Glioma	C10.292.700.500.500
Optic Nerve Injuries	C26.260.237.650
Optic Neuritis	C10.292.700.550
Optic Neuropathy, Ischemic	C14.907.601
Oral Hemorrhage	C23.888.619.500
Oral Manifestations	C23.888.619
Oral Submucous Fibrosis	C07.465.654
Orbital Diseases	C11.675
Organophosphate Poisoning	C25.723.717
Ornithine Carbamoyltransferase Deficiency Disease	C10.228.140.163.100.937.750
Oropharyngeal Neoplasms	C07.550.745.671
Orthomyxoviridae Infections	C02.782.620
Orthostatic Intolerance	C23.888.592.610
Ossification, Heterotopic	C23.550.751
Osteitis Deformans	C05.116.692
Osteoarthritis	C05.799.613
Osteoarthritis, Hip	C05.799.613.400
Osteoarthritis, Knee	C05.799.613.500
Osteochondrodysplasias	C05.116.099.708
Osteogenesis Imperfecta	C16.320.737
Osteolysis	G11.427.590.195.150.570
Osteomyelitis	C01.539.160.495
Osteonecrosis	C23.550.717.732
Osteopetrosis	C05.116.099.708.702.678
Osteoporosis	C05.116.198.579
Osteoporosis, Postmenopausal	C05.116.198.579.610
Osteoporotic Fractures	C26.404.545
Osteoradionecrosis	C26.733.579
Osteosarcoma	C04.557.450.565.575.650
Otitis	C09.218.705
Otitis Externa	C09.218.705.496
Otitis Media	C09.218.705.663
Otitis Media, Suppurative	C01.539.830.694
Otitis Media with Effusion	C09.218.705.663.683
Otomycosis	C01.703.658
Otorhinolaryngologic Diseases	C09
Otosclerosis	C09.218.768
Out-of-Hospital Cardiac Arrest	C14.280.383.610
Ovarian Cysts	C19.391.630.580
Ovarian Diseases	C19.391.630
Ovarian Hyperstimulation Syndrome	C13.351.500.056.630.642
Ovarian Neoplasms	C13.351.500.056.630.705
Overnutrition	C18.654.726
Overweight	G07.100.100.160.120.699
Pachyonychia Congenita	C16.320.850.250.856
Paget Disease, Extramammary	C04.557.470.615.660
Paget's Disease, Mammary	C04.557.470.615.275.625
Pain	G11.561.600.810.444
Pain Insensitivity, Congenital	C10.668.829.700
Pain, Intractable	C23.888.646.515
Pain, Postoperative	C23.888.646.530
Pancoast Syndrome	C04.588.894.797.520.734
Pancreatic Cyst	C04.182.640
Pancreatic Diseases	C06.689
Pancreatic Fistula	C23.300.575.185.775
Pancreatic Neoplasms	C19.344.421
Pancreatitis, Acute Necrotizing	C06.689.750.650
Pancreatitis, Alcoholic	C25.775.100.087.730
Pancreatitis	C06.689.750
Pancreatitis, Chronic	C06.689.750.830
Pancytopenia	C15.378.700
Panic Disorder	F03.080.700
Panniculitis	C17.800.566
Pantothenate Kinase-Associated Neurodegeneration	C10.228.662.575
Panuveitis	C11.941.879.780
Papilloma	C04.557.470.700.600
Papilloma, Inverted	C04.557.470.700.600.610
Papillomavirus Infections	C02.256.650
Paraganglioma	C04.557.580.625.650.700
Paraganglioma, Extra-Adrenal	C04.557.580.625.650.700.705
Paralysis	C23.888.592.636
Paralysis, Hyperkalemic Periodic	C10.668.491.650.600
Paramyxoviridae Infections	C02.782.580.600
Paranasal Sinus Diseases	C08.460.692
Paranasal Sinus Neoplasms	C04.588.443.665.650.693
Paraneoplastic Syndromes	C04.730
Paranoid Disorders	F03.700.450
Paraparesis	C23.888.592.643.500
Paraparesis, Spastic	C23.888.592.643.500.500
Paraparesis, Tropical Spastic	C10.228.228.618.700
Paraplegia	C23.888.592.636.637
Paraproteinemias	C15.378.147.780
Parapsoriasis	C17.800.859.575
Parasitemia	C23.550.470.790.500.580
Parasitic Diseases	C03
Parasomnias	F03.870.664
Parathyroid Diseases	C19.642
Parathyroid Neoplasms	C19.642.713
Paratuberculosis	C22.688
Paratyphoid Fever	C01.252.400.310.821.438
Paresis	C23.888.592.643
Paresthesia	C23.888.592.763.770.875
Parkinson Disease	C10.228.662.600.400
Parkinsonian Disorders	C10.228.662.600
Pars Planitis	C11.941.879.900.500
Patellofemoral Pain Syndrome	C05.550.700
Pathologic Processes	C23.550
Peanut Hypersensitivity	C20.543.480.370.675
Pediatric Obesity	C18.654.726.500.720
Pedophilia	F03.800.800.600.600
Pelvic Floor Disorders	C13.351.625
Pelvic Infection	C01.539.635
Pelvic Inflammatory Disease	C13.351.500.056.750
Pelvic Neoplasms	C04.588.699
Pelvic Organ Prolapse	C23.300.842.624
Pelvic Pain	C23.888.646.587
Pemphigoid, Benign Mucous Membrane	C17.800.865.670
Pemphigoid, Bullous	C17.800.865.690
Pemphigus	C17.800.865.716
Penile Induration	C12.294.494.508
Penile Neoplasms	C12.294.494.591
Peptic Ulcer	C06.405.748.586
Peptic Ulcer Hemorrhage	C23.550.414.788.700
Perceptual Disorders	F01.700.750
Periapical Diseases	C07.320.830
Periarthritis	C05.550.251.595
Pericardial Effusion	C14.280.695
Pericarditis	C14.280.720
