uniprot_disease_accession	attribute	value
DI-00675	synonym	AAT5.
DI-00675	synonym	Familial thoracic aortic aneurysm 5.
DI-00675	synonym	Furlong syndrome.
DI-00675	synonym	LDAS.
DI-00675	synonym	Loeys-Dietz aortic aneurysm syndrome.
DI-00675	synonym	Marfanoid disorder-craniosynostosis syndrome.
DI-00675	keyword	KW-0989:Craniosynostosis.
DI-00675	keyword	KW-0993:Aortic aneurysm.
DI-00675	MIM_id	 609192
DI-00675	acronym	LDS1.
DI-00675	MedGen_id	 C1836635.
DI-00675	MedGen_id	 C2697933.
DI-00675	MedGen_id	 C2931764.
DI-00675	MeSH_id	 D055947.
DI-00677	canonical	Loeys-Dietz syndrome 2.
DI-00677	definition	An aortic aneurysm syndrome with widespread systemic involvement, characterized by arterial tortuosity and aneurysms, hypertelorism, and bifid uvula or cleft palate. Physical findings include prominent joint laxity, easy bruising, wide and atrophic scars, velvety and translucent skin with easily visible veins, spontaneous rupture of the spleen or bowel, and catastrophic complications of pregnancy, including rupture of the gravid uterus and the arteries, either during pregnancy or in the immediate postpartum period. Some patients have craniosynostosis, exotropy, micrognathia and retrognathia, structural brain abnormalities, and intellectual deficit.
DI-00677	synonym	AAT3.
DI-00677	synonym	Familial aortic aneurysm thoracic type 3.
DI-00677	synonym	Marfan syndrome type 2.
DI-00677	synonym	MFS2.
DI-00677	synonym	TAAD2.
DI-00677	synonym	Thoracic aortic aneurysms and dissection 2.
DI-00677	keyword	KW-0989:Craniosynostosis.
DI-00677	keyword	KW-0993:Aortic aneurysm.
DI-00677	MIM_id	 610168
DI-00677	acronym	LDS2.
DI-00677	MedGen_id	 C2674876.
DI-00677	MeSH_id	 D055947.
DI-03064	canonical	Loeys-Dietz syndrome 3.
DI-03064	definition	An aortic aneurysm syndrome with widespread systemic involvement. The disorder is characterized by the triad of arterial tortuosity and aneurysms, hypertelorism, and bifid uvula or cleft palate. Patients with LDS3 also manifest early-onset osteoarthritis. They lack craniosynostosis and mental retardation.
DI-03064	synonym	Aneurysms-osteoarthritis syndrome.
DI-03064	synonym	AOS.
DI-03064	synonym	LDS1C.
DI-03064	synonym	Loeys-Dietz syndrome 1C.
DI-03064	synonym	Loeys-Dietz syndrome with osteoarthritis.
DI-03064	keyword	KW-0993:Aortic aneurysm.
DI-03064	MIM_id	 613795
DI-03064	acronym	LDS3.
DI-03064	MedGen_id	 C3151087.
DI-03064	MeSH_id	 D055947.
DI-03523	canonical	Loeys-Dietz syndrome 4.
DI-03523	definition	An aortic aneurysm syndrome with widespread systemic involvement. LDS4 is characterized by arterial tortuosity, aortic dissection, intracranial aneurysm and subarachnoid hemorrhage, hypertelorism, bifid uvula, pectus deformity, bicuspid aortic valve, arachnodactyly, scoliosis, foot deformities, dural ectasia, joint hyperflexibility, and thin skin with easy bruising and striae.
DI-03523	synonym	Aortic and cerebral aneurysm with arterial tortuosity and skeletal manifestations.
DI-03523	keyword	KW-0993:Aortic aneurysm.
DI-03523	MIM_id	 614816
DI-03523	acronym	LDS4.
DI-03523	MedGen_id	 C3553762.
DI-03523	MedGen_id	 CN143719.
DI-03523	MeSH_id	 D055947.
DI-03991	canonical	Loeys-Dietz syndrome 5.
DI-03991	definition	A form of Loeys-Dietz syndrome, a syndrome with widespread systemic involvement characterized by arterial tortuosity and aneurysms, hypertelorism, and bifid uvula or cleft palate. LDS5 additional variable features include mitral valve disease, skeletal overgrowth, cervical spine instability, and clubfoot deformity. LDS5 patients do not manifest remarkable aortic or arterial tortuosity, and there is no strong evidence for early aortic dissection.
DI-03991	synonym	Rienhoff syndrome.
DI-03991	synonym	RNHF.
DI-03991	MIM_id	 615582
DI-03991	acronym	LDS5.
DI-03991	MedGen_id	 C3810012.
DI-03991	MeSH_id	 D055947.
DI-00679	canonical	Long QT syndrome 1.
DI-00679	definition	A heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy.
DI-00679	synonym	Romano-Ward syndrome.
DI-00679	synonym	RWS.
DI-00679	synonym	Ward-Romano syndrome.
DI-00679	keyword	KW-0454:Long QT syndrome.
DI-00679	MIM_id	 192500
DI-00679	acronym	LQT1.
DI-00679	MedGen_id	 C0035828.
DI-00679	MedGen_id	 C1843738.
DI-00679	MedGen_id	 CN177655.
DI-00679	MeSH_id	 D029597.
DI-00687	canonical	Long QT syndrome 10.
DI-00687	definition	A heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy.
DI-00687	keyword	KW-0454:Long QT syndrome.
DI-00687	MIM_id	 611819
DI-00687	acronym	LQT10.
DI-00687	MedGen_id	 C2678484.
DI-00687	MeSH_id	 D008133.
DI-00688	canonical	Long QT syndrome 11.
DI-00688	definition	A heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy.
DI-00688	keyword	KW-0454:Long QT syndrome.
DI-00688	MIM_id	 611820
DI-00688	acronym	LQT11.
DI-00688	MedGen_id	 C2678483.
DI-00688	MeSH_id	 D008133.
DI-02487	canonical	Long QT syndrome 12.
DI-02487	definition	A heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy.
DI-02487	keyword	KW-0454:Long QT syndrome.
DI-02487	MIM_id	 612955
DI-02487	acronym	LQT12.
DI-02487	MedGen_id	 C2751830.
DI-02487	MeSH_id	 D008133.
DI-02771	canonical	Long QT syndrome 13.
DI-02771	definition	A heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy.
DI-02771	keyword	KW-0454:Long QT syndrome.
DI-02771	MIM_id	 613485
DI-02771	acronym	LQT13.
DI-02771	MedGen_id	 C3150733.
DI-02771	MeSH_id	 D008133.
DI-04329	canonical	Long QT syndrome 14.
DI-04329	definition	A form of long QT syndrome, a heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy.
DI-04329	keyword	KW-0454:Long QT syndrome.
DI-04329	MIM_id	 616247
DI-04329	acronym	LQT14.
DI-04329	MedGen_id	 CN228133.
DI-04329	MeSH_id	 D008133.
DI-04328	canonical	Long QT syndrome 15.
DI-04328	definition	A form of long QT syndrome, a heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy.
DI-04328	keyword	KW-0454:Long QT syndrome.
DI-04328	MIM_id	 616249
DI-04328	acronym	LQT15.
DI-04328	MedGen_id	 CN228134.
DI-04328	MeSH_id	 D008133.
DI-00680	canonical	Long QT syndrome 2.
DI-00680	definition	A heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy. Deafness is often associated with long QT syndrome type 2.
DI-00680	synonym	Long QT syndrome 1/2.
DI-00680	synonym	LONG QT syndrome 2/3.
DI-00680	synonym	LONG QT syndrome 2/5.
DI-00680	synonym	LONG QT syndrome 2/9.
DI-00680	synonym	LQT1/2.
DI-00680	synonym	LQT2/3.
DI-00680	synonym	LQT2/5.
DI-00680	synonym	LQT2/9.
DI-00680	synonym	Susceptibility to acquired Long QT syndrome 2.
DI-00680	keyword	KW-0454:Long QT syndrome.
DI-00680	MIM_id	 613688
DI-00680	acronym	LQT2.
DI-00680	MedGen_id	 C1859063.
DI-00680	MedGen_id	 C3150943.
DI-00680	MedGen_id	 C3150944.
DI-00680	MedGen_id	 C3276240.
DI-00680	MedGen_id	 C3279093.
DI-00680	MeSH_id	 D008133.
DI-00681	canonical	Long QT syndrome 3.
DI-00681	definition	A heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy.
DI-00681	keyword	KW-0454:Long QT syndrome.
DI-00681	MIM_id	 603830
DI-00681	acronym	LQT3.
DI-00681	MedGen_id	 C1838527.
DI-00681	MedGen_id	 C1859062.
DI-00681	MeSH_id	 D008133.
DI-00682	canonical	Long QT syndrome 4.
DI-00682	definition	A heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy. Long QT syndrome type 4 shows many atypical features compared to classical long QT syndromes, including pronounced sinus bradycardia, polyphasic T waves and atrial fibrillation. Cardiac repolarization defects may be not as severe as in classical LQT syndromes and prolonged QT interval on EKG is not a consistent feature.
DI-00682	synonym	Sick sinus syndrome with bradycardia.
DI-00682	keyword	KW-0454:Long QT syndrome.
DI-00682	MIM_id	 600919
DI-00682	acronym	LQT4.
DI-00682	MedGen_id	 C1833154.
DI-00682	MedGen_id	 C1970119.
DI-00682	MeSH_id	 D008133.
DI-00683	canonical	Long QT syndrome 5.
DI-00683	definition	A heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy.
DI-00683	synonym	Long QT syndrome 2/5.
DI-00683	synonym	LQT2/5.
DI-00683	synonym	Susceptibility to acquired Long QT syndrome 5.
DI-00683	keyword	KW-0454:Long QT syndrome.
DI-00683	MIM_id	 613695
DI-00683	acronym	LQT5.
DI-00683	MedGen_id	 C1867904.
DI-00683	MedGen_id	 C3150956.
DI-00683	MeSH_id	 D008133.
DI-00684	canonical	Long QT syndrome 6.
DI-00684	definition	A heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy.
DI-00684	synonym	Long QT syndrome 3/6.
DI-00684	synonym	LQT3/6.
DI-00684	synonym	Susceptibility to acquired Long QT syndrome 6.
DI-00684	keyword	KW-0454:Long QT syndrome.
DI-00684	MIM_id	 613693
DI-00684	acronym	LQT6.
DI-00684	MedGen_id	 C1863519.
DI-00684	MedGen_id	 C3150953.
DI-00684	MedGen_id	 C3150954.
DI-00684	MedGen_id	 C3276241.
DI-00684	MeSH_id	 D008133.
DI-00685	canonical	Long QT syndrome 7.
DI-00685	definition	A heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy. Long QT syndrome type 7 manifests itself as a clinical triad consisting of potassium-sensitive periodic paralysis, ventricular ectopy and dysmorphic features.
DI-00685	synonym	Andersen cardiodysrhythmic periodic paralysis.
DI-00685	synonym	Andersen syndrome.
DI-00685	synonym	Andersen-Tawil syndrome.
DI-00685	synonym	ATS.
DI-00685	synonym	Periodic paralysis, potassium-sensitive cardiodysrhythmic type.
DI-00685	keyword	KW-0454:Long QT syndrome.
DI-00685	MIM_id	 170390
DI-00685	acronym	LQT7.
DI-00685	MedGen_id	 C1563715.
DI-00685	MeSH_id	 D050030.
DI-00686	canonical	Long QT syndrome 9.
DI-00686	definition	A heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy.
DI-00686	keyword	KW-0454:Long QT syndrome.
DI-00686	MIM_id	 611818
DI-00686	acronym	LQT9.
DI-00686	MedGen_id	 C2678485.
DI-00686	MeSH_id	 D008133.
DI-01914	canonical	Long-chain 3-hydroxyl-CoA dehydrogenase deficiency.
DI-01914	definition	The clinical features are very similar to TFP deficiency. Biochemically, LCHAD deficiency is characterized by reduced long-chain 3-hydroxyl-CoA dehydrogenase activity, while the other enzyme activities of the TFP complex are normal or only slightly reduced.
DI-01914	MIM_id	 609016
DI-01914	acronym	LCHAD deficiency.
DI-01914	MedGen_id	 CN074230.
DI-01915	canonical	Loose anagen hair syndrome.
DI-01915	definition	In LAHS, anagen hairs are easily pulled from the scalp. The hair is relatively sparse and does not grow long. Hair of fair color and hair shafts of reduced caliber, and an early age of onset are features. Usually the hairs are not fragile and there are no areas of breakage.
DI-01915	MIM_id	 600628
DI-01915	acronym	LAHS.
DI-01915	MedGen_id	 C0406468.
DI-00689	canonical	Low molecular weight proteinuria with hypercalciuria and nephrocalcinosis.
DI-00689	definition	An X-linked renal disease belonging to the 'Dent disease complex', a group of disorders characterized by proximal renal tubular defect, hypercalciuria, nephrocalcinosis, and renal insufficiency. The spectrum of phenotypic features is remarkably similar in the various disorders, except for differences in the severity of bone deformities and renal impairment. LMWPHN is a slowly progressive disorder. Patients tend to have hypercalciuric nephrocalcinosis without rickets or renal failure.
DI-00689	MIM_id	 308990
DI-00689	acronym	LMWPHN.
DI-00689	MedGen_id	 C1839874.
DI-00689	MeSH_id	 D015499.
DI-01916	canonical	Lowe oculocerebrorenal syndrome.
DI-01916	definition	X-linked multisystem disorder affecting eyes, nervous system, and kidney. It is characterized by hydrophthalmia, cataract, mental retardation, vitamin D-resistant rickets, aminoaciduria, and reduced ammonia production by the kidney. Ocular abnormalities include cataract, glaucoma, microphthalmos, and decreased visual acuity. Developmental delay, hypotonia, behavior abnormalities, and areflexia are also present. Renal tubular involvement is characterized by impaired reabsorption of bicarbonate, amino acids, and phosphate. Musculoskeletal abnormalities such as joint hypermobility, dislocated hips, and fractures may develop as consequences of renal tubular acidosis and hypophosphatemia. Cataract is the only significant manifestation in carriers and is detected by slit-lamp examination.
DI-01916	synonym	Lowe syndrome.
DI-01916	keyword	KW-1186:Ciliopathy.
DI-01916	MIM_id	 309000
DI-01916	acronym	OCRL.
DI-01916	MedGen_id	 C0028860.
DI-01916	MedGen_id	 C2713392.
DI-01917	canonical	Lujan-Fryns syndrome.
DI-01917	definition	Clinically, Lujan-Fryns syndrome can be distinguished from Opitz- Kaveggia syndrome by tall stature, hypernasal voice, hyperextensible digits and high nasal root.
DI-01917	synonym	X-linked mental retardation with marfanoid habitus.
DI-01917	MIM_id	 309520
DI-01917	acronym	LUJFRYS.
DI-01917	MedGen_id	 C0796022.
DI-02205	canonical	Lung cancer.
DI-02205	definition	A common malignancy affecting tissues of the lung. The most common form of lung cancer is non-small cell lung cancer (NSCLC) that can be divided into 3 major histologic subtypes: squamous cell carcinoma, adenocarcinoma, and large cell lung cancer. NSCLC is often diagnosed at an advanced stage and has a poor prognosis.
DI-02205	synonym	Adenocarcinoma of lung.
DI-02205	synonym	Alveolar cell carcinoma.
DI-02205	synonym	Nonsmall cell lung cancer.
DI-02205	MIM_id	 211980
DI-02205	acronym	LNCR.
DI-02205	MedGen_id	 C0007120.
DI-02205	MedGen_id	 C0007131.
DI-02205	MedGen_id	 C0152013.
DI-02205	MedGen_id	 C0684249.
DI-02205	MedGen_id	 C1968897.
DI-02205	MeSH_id	 D008175.
DI-01902	canonical	Luteinizing hormone resistance.
DI-01902	definition	An autosomal recessive disorder characterized by unresponsiveness to luteinizing hormone, defective sexual development in males, and defective follicular development and ovulation, amenorrhea and infertility in females. Two forms of the disorder have been defined in males. Type 1 is a severe form characterized by complete 46,XY male pseudohermaphroditism, low testosterone and high luteinizing hormone levels, total lack of responsiveness to luteinizing and chorionic gonadotropin hormones, lack of breast development, and absent development of secondary male sex characteristics. Type 2, a milder form, displays a broader range of phenotypic expression ranging from micropenis to severe hypospadias.
DI-01902	synonym	Female luteinizing hormone resistance.
DI-01902	synonym	Hypergonadotropic hypogonadism male due to LHCGR defect.
DI-01902	synonym	Leydig cell agenesis.
DI-01902	synonym	Leydig cell hypoplasia.
DI-01902	synonym	Leydig cell hypoplasia complete.
DI-01902	synonym	Leydig cell hypoplasia partial.
DI-01902	synonym	Leydig cell hypoplasia type I.
DI-01902	synonym	Leydig cell hypoplasia type II.
DI-01902	synonym	Leydig cell hypoplasia with male pseudohermaphroditism.
DI-01902	synonym	Ovarian luteinizing hormone resistance.
DI-01902	synonym	Testicular luteinizing hormone resistance.
DI-01902	MIM_id	 238320
DI-01902	acronym	LHR.
DI-01902	MedGen_id	 C0266432.
DI-01902	MedGen_id	 C2673495.
DI-01902	MedGen_id	 C2673497.
DI-01902	MedGen_id	 C2673498.
DI-01902	MeSH_id	 D007006.
DI-01919	canonical	Lymphangioleiomyomatosis.
DI-01919	definition	Progressive and often fatal lung disease characterized by a diffuse proliferation of abnormal smooth muscle cells in the lungs. It affects almost exclusively young women and can occur as an isolated disorder or in association with tuberous sclerosis complex.
DI-01919	MIM_id	 606690
DI-01919	acronym	LAM.
DI-01919	MedGen_id	 C0751674.
DI-00692	canonical	Lymphedema, hereditary, 1A.
DI-00692	definition	A chronic disabling condition which results in swelling of the extremities due to altered lymphatic flow. Patients with lymphedema suffer from recurrent local infections and physical impairment.
DI-00692	synonym	Lymphedema early-onset.
DI-00692	synonym	Lymphedema hereditary type IA.
DI-00692	synonym	Milroy disease.
DI-00692	synonym	Nonne-Milroy lymphedema.
DI-00692	synonym	PCL.
DI-00692	synonym	Primary congenital lymphedema.
DI-00692	MIM_id	 153100
DI-00692	acronym	LMPH1A.
DI-00692	MedGen_id	 C1704423.
DI-00692	MeSH_id	 D008209.
DI-02795	canonical	Lymphedema, hereditary, 1C.
DI-02795	definition	A chronic disabling condition which results in swelling of the extremities due to altered lymphatic flow. Patients with lymphedema suffer from recurrent local infections and physical impairment.
DI-02795	synonym	Lymphedema hereditary type IC.
DI-02795	MIM_id	 613480
DI-02795	acronym	LMPH1C.
DI-02795	MedGen_id	 C3150732.
DI-02795	MeSH_id	 D008209.
DI-04160	canonical	Lymphedema, hereditary, 1D.
DI-04160	definition	A chronic disabling condition which results in swelling of the extremities due to altered lymphatic flow. Patients with lymphedema suffer from recurrent local infections and physical impairment.
DI-04160	synonym	Hereditary lymphedema ID.
DI-04160	MIM_id	 615907
DI-04160	acronym	LMPH1D.
DI-04160	MedGen_id	 CN197013.
DI-04160	MeSH_id	 D008209.
DI-00693	canonical	Lymphedema, hereditary, 2.
DI-00693	definition	A chronic disabling condition which results in swelling of the extremities due to altered lymphatic flow. Patients with lymphedema suffer from recurrent local infections, and physical impairment.
DI-00693	synonym	Late-onset lymphedema.
DI-00693	synonym	Lymphedema praecox.
DI-00693	synonym	Lymphedema, hereditary, II.
DI-00693	synonym	Lymphedema, late-onset.
DI-00693	synonym	Meige disease.
DI-00693	synonym	Meige lymphedema.
DI-00693	MIM_id	 153200
DI-00693	acronym	LMPH2.
DI-00693	MedGen_id	 C0238261.
DI-00693	MeSH_id	 D008209.
DI-03299	canonical	Lymphedema, primary, with myelodysplasia.
DI-03299	definition	A chronic disabling condition characterized by swelling of the extremities due to altered lymphatic flow, associated with myelodysplasia. Patients with lymphedema suffer from recurrent local infections, and physical impairment.
DI-03299	synonym	Emberger syndrome.
DI-03299	MIM_id	 614038
DI-03299	acronym	LMPM.
DI-03299	MedGen_id	 C3279664.
DI-03299	MeSH_id	 D008209.
DI-00690	canonical	Lymphedema-distichiasis.
DI-00690	definition	A disorder characterized by primary limb lymphedema associated with distichiasis (double rows of eyelashes, with extra eyelashes growing from the Meibomian gland orifices). Swelling of the extremities, due to altered lymphatic flow, usually appears in late childhood or puberty. Most affected individuals have ocular findings including corneal irritation, recurrent conjunctivitis, and photophobia. Drooping of the upper eyelid (ptosis) is a variable feature of the lymphedema-distichiasis syndrome, occurring in about 30% of patients.
DI-00690	synonym	Lymphedema with distichiasis.
DI-00690	synonym	Lymphedema-distichiasis syndrome.
DI-00690	MIM_id	 153400
DI-00690	acronym	LYD.
DI-00690	MedGen_id	 C0265345.
DI-00690	MedGen_id	 C2675066.
DI-00690	MeSH_id	 D008209.
DI-00691	canonical	Lymphedema-yellow nails.
DI-00691	definition	A disorder characterized by yellow, dystrophic, thick and slowly growing nails, associated with lymphedema and respiratory involvement. Lymphedema occurs more often in the lower limbs. It can appear at birth or later in life. Onset generally follows the onset of ungual abnormalities.
DI-00691	synonym	Lymphedema and yellow nails.
DI-00691	synonym	Yellow nail syndrome.
DI-00691	synonym	YNS.
DI-00691	MIM_id	 153300
DI-00691	acronym	LYYN.
DI-00691	MedGen_id	 C0221348.
DI-00691	MeSH_id	 D008209.
DI-02721	canonical	Lymphoma, Hodgkin, classic.
DI-02721	definition	A malignant disease characterized by progressive enlargement of the lymph nodes, spleen and general lymphoid tissue, and the presence of large, usually multinucleate, cells (Reed-Sternberg cells). Reed- Sternberg cells compose only 1-2% of the total tumor cell mass. The remainder is composed of a variety of reactive, mixed inflammatory cells consisting of lymphocytes, plasma cells, neutrophils, eosinophils and histiocytes.
DI-02721	synonym	Hodgkin disease.
DI-02721	MIM_id	 236000
DI-02721	acronym	CHL.
DI-02721	MedGen_id	 C0019829.
DI-02721	MeSH_id	 D006689.
DI-02628	canonical	Lymphoproliferative syndrome 1.
DI-02628	definition	A rare immunodeficiency characterized by extreme susceptibility to infection with Epstein-Barr virus (EBV). Inadequate immune response to EBV can have a fatal outcome. Clinical features include splenomegaly, lymphadenopathy, anemia, thrombocytopenia, pancytopenia, recurrent infections. There is an increased risk for lymphoma.
DI-02628	synonym	Lymphoproliferative syndrome, EBV-associated, autosomal, 1.
DI-02628	MIM_id	 613011
DI-02628	acronym	LPFS1.
DI-02628	MedGen_id	 C2751686.
DI-02628	MedGen_id	 C3552634.
DI-02628	MeSH_id	 D008232.
DI-03702	canonical	Lymphoproliferative syndrome 2.
DI-03702	definition	An autosomal recessive immunodeficiency disorder associated with persistent symptomatic EBV viremia, hypogammaglobulinemia, and impaired T-cell-dependent B-cell responses and T-cell dysfunction. The phenotype is highly variable, ranging from asymptomatic borderline-low hypogammaglobulinemia, to a full-blown symptomatic systemic inflammatory response with life-threatening EBV-related complications, including hemophagocytic lymphohistiocytosis, a lymphoproliferative disorder, and malignant lymphoma requiring stem cell transplantation.
DI-03702	synonym	CD27 deficiency.
DI-03702	MIM_id	 615122
DI-03702	acronym	LPFS2.
DI-03702	MedGen_id	 C3554540.
DI-03702	MedGen_id	 CN168059.
DI-03702	MeSH_id	 D008232.
DI-00694	canonical	Lymphoproliferative syndrome, X-linked, 1.
DI-00694	definition	A rare immunodeficiency characterized by extreme susceptibility to infection with Epstein-Barr virus (EBV). Symptoms include severe or fatal mononucleosis, acquired hypogammaglobulinemia, pancytopenia and malignant lymphoma.
DI-00694	synonym	Duncan disease.
DI-00694	synonym	IMD5.
DI-00694	synonym	Immunodeficiency 5.
DI-00694	synonym	Purtilo syndrome.
DI-00694	synonym	X-linked lymphoproliferative disease.
DI-00694	synonym	X-linked progressive combined variable immunodeficiency.
DI-00694	synonym	XLPD.
DI-00694	MIM_id	 308240
DI-00694	acronym	XLP1.
DI-00694	MedGen_id	 C0549463.
DI-00694	MedGen_id	 C1868674.
DI-00694	MeSH_id	 D008232.
DI-00695	canonical	Lymphoproliferative syndrome, X-linked, 2.
DI-00695	definition	A rare immunodeficiency characterized by extreme susceptibility to infection with Epstein-Barr virus (EBV). Symptoms include severe or fatal mononucleosis, acquired hypogammaglobulinemia, pancytopenia and malignant lymphoma.
DI-00695	synonym	XIAP deficiency.
DI-00695	MIM_id	 300635
DI-00695	acronym	XLP2.
DI-00695	MedGen_id	 C1845076.
DI-00695	MeSH_id	 D008232.
DI-01920	canonical	Lysinuric protein intolerance.
DI-01920	definition	A metabolic disorder characterized by increased renal excretion of cationic amino acid (CAA), reduced CAA absorption from intestine, and orotic aciduria. On a normal diet, LPI patients present poor feeding, vomiting, diarrhea, episodes of hyperammoniaemic coma and growth retardation. Hepatosplenomegaly, osteoporosis and a life-threatening pulmonary involvement (alveolar proteinosis) are also seen. Biochemically LPI is characterized by defective transport of dibasic amino acids at the basolateral membrane of epithelial cells in kidney and intestine.
DI-01920	synonym	Dibasic amino aciduria II.
DI-01920	MIM_id	 222700
DI-01920	acronym	LPI.
DI-01920	MedGen_id	 C0268647.
DI-01920	MeSH_id	 D000592.
DI-01923	canonical	Lysyl hydroxylase 3 deficiency.
DI-01923	definition	Connective tissue disorder. The syndrome is characterized by congenital malformations severely affecting many tissues and organs and revealing features of several collagen disorders, most of them involving COL2A1 (type II collagen). The findings suggest that the failure of lysyl hydroxylation and hydroxylysyl carbohydrate addition, which affects many collagens, is the molecular basis of this syndrome.
DI-01923	synonym	Bone fragility with contractures arterial rupture and deafness.
DI-01923	MIM_id	 612394
DI-01923	acronym	LH3 deficiency.
DI-01923	MedGen_id	 C2676285.
DI-03260	canonical	Macrocephaly, macrosomia, facial dysmorphism syndrome.
DI-03260	definition	An autosomal dominant disorder characterized by the association of macrothrombocytopathy and progressive sensorineural hearing loss without renal dysfunction.
DI-03260	synonym	Macrocephaly, macrosomia, and facial dysmorphism syndrome.
DI-03260	MIM_id	 614192
DI-03260	acronym	MMFD.
DI-03260	MedGen_id	 C3280095.
DI-03260	MeSH_id	 D019465.
DI-01924	canonical	Macrocephaly/autism syndrome.
DI-01924	definition	Patients have autism spectrum disorders and macrocephaly, with head circumferences ranging from +2.5 to +8 SD for age and sex (average head circumference +4.0 SD).
DI-01924	keyword	KW-1268:Autism spectrum disorder.
DI-01924	MIM_id	 605309
DI-01924	acronym	MCEPHAS.
DI-01924	MedGen_id	 C1854416.
DI-03993	canonical	Macrocephaly/megalencephaly syndrome, autosomal recessive.
DI-03993	definition	A disorder characterized by abnormal enlargement of the cerebral hemispheres, mental retardation, large head, optic atrophy and underdeveloped skeletal musculature. Head enlargement may be evident at birth or the head may become abnormally large in the early years of life. Additional clinical features include behavioral abnormalities, psychosis, learning difficulties, prognathism, myopia and astigmatism.
DI-03993	MIM_id	 248000
DI-03993	acronym	MGCPH.
DI-03993	MedGen_id	 C3806412.
DI-03993	MeSH_id	 D058627.
DI-00696	canonical	Macrothrombocytopenia and progressive sensorineural deafness.
DI-00696	definition	An autosomal dominant disorder characterized by the association of macrothrombocytopathy and progressive sensorineural hearing loss without renal dysfunction.
DI-00696	keyword	KW-0209:Deafness.
DI-00696	MIM_id	 600208
DI-00696	acronym	MPSD.
DI-00696	MedGen_id	 C1834478.
DI-00696	MeSH_id	 D003638.
DI-00696	MeSH_id	 D013921.
DI-02623	canonical	Macrothrombocytopenia, autosomal dominant, TUBB1-related.
DI-02623	definition	A congenital blood disorder characterized by increased platelet size and decreased number of circulating platelets.
DI-02623	MIM_id	 613112
DI-02623	acronym	MAD-TUBB1.
DI-02623	MedGen_id	 C2751259.
DI-02623	MeSH_id	 D013921.
DI-02637	canonical	MACS syndrome.
DI-02637	definition	A complex disorder of elastic tissue characterized by sagging skin and occasionally by life-threatening visceral complications.
DI-02637	synonym	Macrocephaly alopecia cutis laxa and scoliosis syndrome.
DI-02637	synonym	Tall forehead, sparse hair, skin hyperextensibility, and scoliosis.
DI-02637	MIM_id	 613075
DI-02637	acronym	MACS.
DI-02637	MedGen_id	 C2751321.
DI-02637	MeSH_id	 D000505.
DI-02637	MeSH_id	 D003483.
DI-02637	MeSH_id	 D012600.
DI-02637	MeSH_id	 D058627.
DI-00055	canonical	Macular degeneration, age-related, 1.
DI-00055	definition	A form of age-related macular degeneration, a multifactorial eye disease and the most common cause of irreversible vision loss in the developed world. In most patients, the disease is manifest as ophthalmoscopically visible yellowish accumulations of protein and lipid that lie beneath the retinal pigment epithelium and within an elastin-containing structure known as Bruch membrane.
DI-00055	keyword	KW-0913:Age-related macular degeneration.
DI-00055	MIM_id	 603075
DI-00055	acronym	ARMD1.
DI-00055	MedGen_id	 C1864205.
